Player,FG,FGA,XPT,FPTS,Team,Week,Year,Position
Nick Folk,1.9,2.3,2.8,8.6,NYJ,17,2021,k
Matt Gay,1.9,2.2,2.7,8.2,WAS,17,2021,k
Harrison Butker,1.8,2.1,2.6,8.1,KC,17,2021,k
Dustin Hopkins,1.8,2.2,2.3,7.8,CLE,17,2021,k
Chris Boswell,1.9,2.3,2.0,7.7,PIT,17,2021,k
Evan McPherson,1.8,2.3,2.2,7.7,CIN,17,2021,k
Jake Elliott,1.8,2.1,2.2,7.6,PHI,17,2021,k
Daniel Carlson,1.7,2.0,1.8,7.0,LV,17,2021,k
Brandon McManus,1.7,2.0,1.9,6.9,GB,17,2021,k
Jason Myers,1.5,1.7,2.5,6.9,SEA,17,2021,k
Cairo Santos,1.6,1.8,2.2,6.8,CHI,17,2021,k
Chase McLaughlin,1.5,1.9,2.1,6.7,TB,17,2021,k
Jason Sanders,1.6,1.9,1.6,6.5,MIA,17,2021,k
Joey Slye,1.5,1.9,1.7,6.3,TEN,17,2021,k
Graham Gano,1.6,1.8,1.4,6.3,NYG,17,2021,k
Ka'imi Fairbairn,1.6,1.9,1.5,6.2,HOU,17,2021,k
Younghoe Koo,1.4,1.6,1.6,5.9,ATL,17,2021,k
Matthew Wright,1.4,1.7,0.9,5.3,CAR,17,2021,k
Harrison Butker,1.9,2.2,2.6,8.3,KC,18,2021,k
Dustin Hopkins,1.7,2.1,2.5,7.7,CLE,18,2021,k
Tyler Bass,1.5,1.8,3.1,7.7,BUF,18,2021,k
Evan McPherson,1.8,2.0,2.2,7.6,CIN,18,2021,k
Matt Gay,1.7,2.0,2.5,7.5,WAS,18,2021,k
Nick Folk,1.6,1.9,2.4,7.3,NYJ,18,2021,k
Daniel Carlson,1.6,1.9,2.3,7.2,LV,18,2021,k
Cairo Santos,1.7,2.0,1.9,7.1,CHI,18,2021,k
Jake Elliott,1.8,2.1,1.7,7.1,PHI,18,2021,k
Joey Slye,1.7,2.0,1.9,7.1,TEN,18,2021,k
Jason Myers,1.7,2.0,2.0,7.0,SEA,18,2021,k
Chris Boswell,1.7,2.0,1.7,6.9,PIT,18,2021,k
Jason Sanders,1.6,2.0,1.7,6.6,MIA,18,2021,k
Younghoe Koo,1.5,1.7,1.8,6.4,ATL,18,2021,k
Ka'imi Fairbairn,1.5,1.9,1.6,6.2,HOU,18,2021,k
