Player,FG_proj,FGA_proj,XPT_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Rank,FG_actual,FGA_actual,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT_actual,XPA,G,FPTS_actual,FPTS/G,ROST,Team_actual,Position_actual
Jason Sanders,1.6,1.8,2.0,6.8,MIA,4,2021,K,20.0,1.0,1.0,100.0,38.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,42.0%,MIA,K
Jake Elliott,1.5,1.8,2.2,6.7,PHI,4,2021,K,5.0,3.0,3.0,100.0,31.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,12.0,12.0,60.5%,PHI,K
Joey Slye,1.5,1.8,1.6,6.2,TEN,4,2021,K,,,,,,,,,,,,,,,,,,
Matthew Wright,1.4,1.6,1.4,5.6,CAR,4,2021,K,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,0.7%,CAR,K
Ka'imi Fairbairn,1.3,1.5,1.3,5.3,HOU,4,2021,K,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.1%,HOU,K
Daniel Carlson,2.1,2.5,2.3,8.7,LV,5,2021,K,28.0,1.0,1.0,100.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,12.8%,LV,K
Younghoe Koo,2.0,2.3,2.2,8.2,ATL,5,2021,K,10.0,2.0,2.0,100.0,52.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,22.8%,ATL,K
Harrison Butker,1.7,2.0,3.0,8.2,KC,5,2021,K,13.0,2.0,2.0,100.0,54.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,10.0,10.0,72.1%,KC,K
Nick Folk,2.0,2.4,2.0,8.1,NYJ,5,2021,K,1.0,4.0,4.0,100.0,52.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,17.0,17.0,0.9%,NYJ,K
Tyler Bass,1.8,2.1,2.7,8.0,BUF,5,2021,K,18.0,1.0,1.0,100.0,30.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,8.0,8.0,57.5%,BUF,K
Matt Gay,1.7,2.0,2.9,7.9,WAS,5,2021,K,15.0,2.0,2.0,100.0,47.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,9.0,9.0,15.8%,WAS,K
Jason Myers,1.6,1.8,2.6,7.4,SEA,5,2021,K,24.0,1.0,2.0,50.0,32.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,3.6%,SEA,K
Graham Gano,1.8,2.1,2.0,7.4,NYG,5,2021,K,6.0,2.0,3.0,66.7,51.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,12.0,12.0,1.0%,NYG,K
Chris Boswell,1.8,2.1,1.8,7.1,PIT,5,2021,K,9.0,2.0,2.0,100.0,48.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,11.0,11.0,81.1%,PIT,K
Dustin Hopkins,1.7,2.1,1.8,7.0,CLE,5,2021,K,8.0,3.0,3.0,100.0,45.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,0.8%,CLE,K
Chase McLaughlin,1.7,1.9,2.0,7.0,TB,5,2021,K,11.0,2.0,2.0,100.0,35.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,10.0,10.0,81.7%,TB,K
Cairo Santos,1.7,1.9,2.0,7.0,CHI,5,2021,K,12.0,2.0,2.0,100.0,46.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,10.0,10.0,12.2%,CHI,K
Brandon McManus,1.6,1.9,2.0,6.9,GB,5,2021,K,19.0,2.0,2.0,100.0,39.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,5.2%,GB,K
Evan McPherson,1.5,1.8,2.4,6.9,CIN,5,2021,K,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,43.8%,CIN,K
Jason Sanders,1.5,1.7,1.8,6.4,MIA,5,2021,K,22.0,1.0,1.0,100.0,23.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,42.0%,MIA,K
Jake Elliott,1.5,1.7,2.0,6.4,PHI,5,2021,K,16.0,2.0,2.0,100.0,58.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,9.0,9.0,60.5%,PHI,K
Joey Slye,1.5,1.7,1.8,6.2,TEN,5,2021,K,23.0,1.0,1.0,100.0,47.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,0.8%,TEN,K
Matthew Wright,1.3,1.6,2.0,6.0,CAR,5,2021,K,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.7%,CAR,K
Ka'imi Fairbairn,1.3,1.5,1.5,5.4,HOU,5,2021,K,26.0,1.0,2.0,50.0,33.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,4.0,4.0,62.1%,HOU,K
Matt Gay,1.8,2.1,2.8,8.2,WAS,6,2021,K,16.0,1.0,1.0,100.0,32.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,8.0,8.0,15.8%,WAS,K
Harrison Butker,1.6,1.8,3.2,8.1,KC,6,2021,K,13.0,1.0,1.0,100.0,52.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,9.0,9.0,72.1%,KC,K
Tyler Bass,1.6,2.0,3.1,8.0,BUF,6,2021,K,3.0,3.0,3.0,100.0,52.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,13.0,13.0,57.5%,BUF,K
Chris Boswell,1.8,2.2,2.3,7.8,PIT,6,2021,K,5.0,3.0,3.0,100.0,52.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,13.0,13.0,81.1%,PIT,K
Brandon McManus,1.7,2.0,2.5,7.7,GB,6,2021,K,19.0,1.0,1.0,100.0,32.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,5.2%,GB,K
Evan McPherson,1.7,2.0,2.5,7.6,CIN,6,2021,K,8.0,2.0,2.0,100.0,40.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,1.0,11.0,11.0,43.8%,CIN,K
Dustin Hopkins,1.6,2.0,2.6,7.4,CLE,6,2021,K,12.0,2.0,3.0,66.7,50.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,0.8%,CLE,K
Graham Gano,1.7,2.0,2.1,7.2,NYG,6,2021,K,24.0,1.0,1.0,100.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0%,NYG,K
Jason Sanders,1.6,1.9,2.2,7.2,MIA,6,2021,K,17.0,2.0,3.0,66.7,33.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,42.0%,MIA,K
Daniel Carlson,1.8,2.1,1.9,7.1,LV,6,2021,K,6.0,2.0,3.0,66.7,50.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,12.0,12.0,12.8%,LV,K
Chase McLaughlin,1.6,1.8,2.4,7.0,TB,6,2021,K,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,81.7%,TB,K
Jake Elliott,1.7,2.0,1.8,6.9,PHI,6,2021,K,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,60.5%,PHI,K
Cairo Santos,1.7,1.9,1.9,6.9,CHI,6,2021,K,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,12.2%,CHI,K
Jason Myers,1.6,1.8,2.1,6.8,SEA,6,2021,K,10.0,2.0,2.0,100.0,43.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,10.0,10.0,3.6%,SEA,K
Matthew Wright,1.3,1.4,2.2,6.0,CAR,6,2021,K,1.0,3.0,3.0,100.0,54.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,16.0,16.0,0.7%,CAR,K
Ka'imi Fairbairn,1.3,1.5,1.8,5.7,HOU,6,2021,K,22.0,1.0,1.0,100.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,62.1%,HOU,K
