Player,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Jamal Agnew,0.4,5.0,0.0,0.1,0.9,0.0,0.0,1.1,ATL,2,2021,wr
Simi Fehoko,0.3,4.2,0.0,0.0,0.1,0.0,0.0,0.9,ARI,2,2021,wr
KhaDarel Hodge,0.4,4.8,0.0,0.0,0.0,0.0,0.0,0.9,ATL,2,2021,wr
Malik Taylor,0.3,4.4,0.0,0.1,0.5,0.0,0.0,0.9,DET,2,2021,wr
Tyler Johnson,0.2,3.6,0.0,0.0,0.0,0.0,0.0,0.7,NYJ,2,2021,wr
James Proche II,0.3,3.5,0.0,0.0,0.1,0.0,0.0,0.7,TEN,2,2021,wr
DeAndre Carter,0.3,3.2,0.0,0.0,0.2,0.0,0.0,0.7,CLE,2,2021,wr
Ihmir Smith-Marsette,0.2,2.9,0.0,0.0,0.1,0.0,0.0,0.6,NYG,2,2021,wr
Gunner Olszewski,0.2,2.6,0.0,0.1,0.4,0.0,0.0,0.6,NYG,2,2021,wr
Ray-Ray McCloud III,0.2,2.1,0.0,0.0,0.4,0.0,0.0,0.5,ATL,2,2021,wr
Mack Hollins,0.1,2.5,0.0,0.0,0.0,0.0,0.0,0.4,NE,2,2021,wr
Steven Sims Jr.,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,SEA,2,2021,wr
Dante Pettis,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,NO,2,2021,wr
Anthony Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,2,2021,wr
Dee Eskridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,2,2021,wr
Phillip Dorsett II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,2,2021,wr
Davante Adams,7.5,95.9,0.7,0.0,0.0,0.0,0.1,21.5,LAR,3,2021,wr
Tyreek Hill,6.2,88.9,0.8,0.9,5.9,0.0,0.1,20.6,MIA,3,2021,wr
Stefon Diggs,6.8,87.5,0.7,0.2,0.9,0.0,0.1,19.7,NE,3,2021,wr
Cooper Kupp,6.7,83.9,0.7,0.3,1.2,0.0,0.1,19.5,SEA,3,2021,wr
Tyler Lockett,6.4,84.9,0.8,0.2,0.9,0.0,0.1,19.4,TEN,3,2021,wr
DeAndre Hopkins,6.5,82.5,0.8,0.0,0.1,0.0,0.1,19.4,BAL,3,2021,wr
Keenan Allen,7.1,85.1,0.6,0.2,1.0,0.0,0.1,19.2,LAC,3,2021,wr
Calvin Ridley,6.3,87.9,0.7,0.3,1.4,0.0,0.1,19.1,TEN,3,2021,wr
Justin Jefferson,6.2,87.9,0.6,0.2,0.8,0.0,0.1,18.9,MIN,3,2021,wr
DK Metcalf,5.7,85.7,0.7,0.1,0.7,0.0,0.1,18.7,PIT,3,2021,wr
A.J. Brown,5.6,83.0,0.8,0.2,1.1,0.0,0.0,18.6,PHI,3,2021,wr
CeeDee Lamb,6.3,81.3,0.6,0.6,4.0,0.0,0.1,18.3,DAL,3,2021,wr
Chris Godwin,5.7,75.3,0.6,0.0,0.1,0.0,0.1,16.9,TB,3,2021,wr
Adam Thielen,5.6,69.3,0.7,0.3,1.4,0.0,0.1,16.9,CAR,3,2021,wr
Deebo Samuel Sr.,5.4,75.6,0.5,1.2,8.6,0.0,0.1,16.8,WAS,3,2021,wr
Terry McLaurin,5.7,75.2,0.5,0.2,1.1,0.0,0.1,16.3,WAS,3,2021,wr
DJ Moore,5.4,75.5,0.5,0.4,2.3,0.0,0.0,16.2,CHI,3,2021,wr
Marquise Brown,4.9,67.2,0.7,0.3,1.7,0.0,0.0,15.8,KC,3,2021,wr
Brandin Cooks,5.5,75.8,0.4,0.2,0.8,0.0,0.1,15.8,NO,3,2021,wr
