Player,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Christian Kirk,3.5,40.9,0.2,0.3,1.8,0.0,0.0,8.9,HOU,1,2021,WR,9.0,5.0,5.0,70.0,14.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,24.0,24.0,30.0%,HOU,WR
Terrace Marshall Jr.,3.3,42.7,0.2,0.0,0.3,0.0,0.0,8.7,PHI,1,2021,WR,78.0,3.0,6.0,26.0,8.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,5.6,0.6%,PHI,WR
Zach Pascal,2.8,38.0,0.2,0.0,0.1,0.0,0.0,7.9,NYG,1,2021,WR,16.0,4.0,5.0,43.0,10.8,16.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,20.3,20.3,0.0%,NYG,WR
Hunter Renfrow,3.4,36.7,0.1,0.0,0.0,0.0,0.0,7.8,CAR,1,2021,WR,41.0,6.0,9.0,70.0,11.7,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,1.9%,CAR,WR
Rondale Moore,3.1,37.2,0.1,0.5,2.9,0.0,0.1,7.8,MIN,1,2021,WR,52.0,4.0,5.0,68.0,17.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.8,10.8,0.7%,MIN,WR
Darius Slayton,2.8,38.1,0.2,0.1,0.1,0.0,0.0,7.6,NYG,1,2021,WR,62.0,3.0,7.0,65.0,21.7,42.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,7.2%,NYG,WR
Amon-Ra St. Brown,3.2,36.8,0.1,0.0,0.1,0.0,0.0,7.5,DET,1,2021,WR,90.0,2.0,4.0,23.0,11.5,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,4.3,99.6%,DET,WR
Nico Collins,2.6,33.5,0.2,0.0,0.2,0.0,0.0,6.8,HOU,1,2021,WR,110.0,1.0,3.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,1.7,99.5%,HOU,WR
Josh Reynolds,2.8,33.4,0.1,0.0,0.0,0.0,0.0,6.8,NYJ,1,2021,WR,,,,,,,,,,,,,,,,,,
Kendrick Bourne,2.5,31.7,0.1,0.0,0.0,0.0,0.0,6.5,NE,1,2021,WR,102.0,1.0,3.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,1.4%,NE,WR
Marquez Valdes-Scantling,2.0,34.5,0.2,0.1,0.7,0.0,0.0,6.5,SEA,1,2021,WR,87.0,3.0,8.0,17.0,5.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.7,4.7,3.7%,SEA,WR
